nba_id,_id,first_name,last_name,team
203524,5bb7cd4bf6fc0cd8aef92384,Solomon,Hill,NOP
201950,5bb7cd4bf6fc0cd8aef92385,Jrue,Holiday,NOP
204066,5bb7cd4bf6fc0cd8aef92386,John,Holland,CLE
203200,5bb7cd4bf6fc0cd8aef92387,Justin,Holiday,CHI
1626178,5bb7cd4bf6fc0cd8aef92388,Rondae,Hollis-Jefferson,BKN
1626158,5bb7cd4bf6fc0cd8aef92389,Richaun,Holmes,PHX
203918,5bb7cd4bf6fc0cd8aef9238a,Rodney,Hood,CLE
201143,5bb7cd4bf6fc0cd8aef9238b,Al,Horford,BOS
2730,5bb7cd4bf6fc0cd8aef9238c,Dwight,Howard,WAS
1627863,5bb7cd4bf6fc0cd8aef9238d,Danuel,House,GSW
1628989,5bb7cd4bf6fc0cd8aef9238e,Kevin,Huerter,ATL
1626154,5bb7cd4bf6fc0cd8aef9238f,RJ,Hunter,ATL
1628990,5bb7cd4bf6fc0cd8aef92390,Chandler,Hutchison,CHI
2738,5bb7cd4bf6fc0cd8aef92391,Andre,Iguodala,GSW
201586,5bb7cd4bf6fc0cd8aef92392,Serge,Ibaka,TOR
101141,5bb7cd4bf6fc0cd8aef92393,Ersan,Ilyasova,MIL
204060,5bb7cd4bf6fc0cd8aef92394,Joe,Ingles,UTA
1627742,5bb7cd4bf6fc0cd8aef92395,Brandon,Ingram,LAL
202681,5bb7cd4bf6fc0cd8aef92396,Kyrie,Irving,BOS
1628371,5bb7cd4bf6fc0cd8aef92397,Jonathan,Isaac,ORL
1628411,5bb7cd4bf6fc0cd8aef92398,Wes,Iwundu,ORL
101127,5bb7cd4bf6fc0cd8aef92399,Jarrett,Jack,NOP
1627743,5bb7cd4bf6fc0cd8aef9239a,Demetrius,Jackson,PHI
1628402,5bb7cd4bf6fc0cd8aef9239b,Frank,Jackson,NOP
1628367,5bb7cd4bf6fc0cd8aef9239c,Josh,Jackson,PHX
1628382,5bb7cd4bf6fc0cd8aef9239d,Justin,Jackson,SAC
202704,5bb7cd4bf6fc0cd8aef9239e,Reggie,Jackson,DET
1628991,5bb7cd4bf6fc0cd8aef9239f,Jaren,Jackson Jr.,MEM
2544,5bb7cd4bf6fc0cd8aef923a0,LeBron,James,LAL
201973,5bb7cd4bf6fc0cd8aef923a1,Jonas,Jerebko,GSW
1628518,5bb7cd4bf6fc0cd8aef923a2,Amile,Jefferson,ORL
101161,5bb7cd4bf6fc0cd8aef923a3,Amir,Johnson,PHI
1628993,5bb7cd4bf6fc0cd8aef923a4,Alize,Johnson,IND
1629168,5bb7cd4bf6fc0cd8aef923a5,BJ,Johnson,ORL
